representation,kv,sharer_layer,codec_layer,frequency_pct,mean_dct_power_unscaled,energy_0_10pct_auxiliary,spectral_centroid_pct_auxiliary
Raw Sharer KV,K,0,4,0.0,93892.51768493652,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,1.0,17125.922566810485,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,2.0,1070.6089216671883,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,3.0,63.23572376833764,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,4.0,44.15691118502988,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,5.0,26.218716900725852,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,6.0,21.171057755793438,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,7.0,17.137287498741642,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,8.0,26.13482080215588,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,9.0,33.73303740708857,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,10.0,17.874492268974414,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,11.0,11.287861594809204,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,12.0,13.996921083845654,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,13.0,27.11183878992917,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,14.0,27.317888191929082,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,15.0,14.579376758256698,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,16.0,9.020542456442486,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,17.0,7.97943580998108,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,18.0,11.674305742256115,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,19.0,26.990293304234523,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,20.0,67.85019379621372,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,21.0,105.89987663044124,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,22.0,55.10757296756376,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,23.0,25.07312047959477,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,24.0,13.615415192288337,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,25.0,11.883921869273763,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,26.0,13.543071058582283,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,27.0,16.87681231315831,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,28.0,21.903486842426947,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,29.0,39.027828808837114,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,30.0,111.80257416638187,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,31.0,349.5540091599928,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,32.0,797.8012331660094,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,33.0,474.03182906757655,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,34.0,201.7402137743898,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,35.0,75.09074968435148,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,36.0,29.338412447290057,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,37.0,15.485316844666372,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,38.0,10.715912659122843,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,39.0,8.079743003039034,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,40.0,5.58529426027671,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,41.0,3.9181881449252223,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,42.0,3.0104899726086325,0.9768542151462192,0.8951737485914827
Raw Sharer KV,K,0,4,43.0,2.4421467731837745,0.9768542151462192,0.8951737485914827
